Var1,V
G3bp2,2
Arhgap21,1
Ehd3,7
Purb,2
Cntn1,1
Brsk1,5
Nbea,1
Icam5,5
Cntnap5a,1
Diap2,1
Kcnt1,1
Paip1,2
Rab6a,4
Slc8a1,1
Rpl37a,2
Rplp2,2
Prep,5
Gnpda1,5
Ddx19a,4
Rab23,3
Phyhip,2
Cops4,2
Ctps,2
Srgap2,1
Hecw2,5
Tsn,5
Mrps22,2
Hist1h1e,5
Atp1a3,4
Ptcd3,2
Rpl35a,2
Ndufs2,4
Stoml2,4
Oxa1l,4
Syne1,1
Trove2,3
Tmem33,3
Dhcr7,4
Adsl,5
Lpcat1,5
Capn2,5
Nap1l1,2
Plbd2,5
Reps2,1
Chp1,5
Agps,4
Sord,5
Scyl2,5
Prosc,5
Tars2,4
Sms,5
Ptplad1,3
Cdc42bpb,1
Bphl,4
Wipi2,3
Ikbkap,3
Abcf2,2
Gss,5
Ppif,4
Clic4,5
Dctn2,1
Atp6v1e1,4
Sec13,3
Acss1,4
Gnal,3
Rtcb,2
Nmt1,2
Tom1,5
Stx5a,7
Itpr1,1
Prkar2a,1
Als2,1
Rpn2,4
Psmc1,6
Ryr2,1
Arf6,4
Mfn2,3
Mtor,2
Dnajc10,2
Atg5,5
Psap,4
Gpx4,5
Fbxo2,1
Vcpip1,5
Svip,4
Psmc4,6
Plaa,5
Ptpn9,7
Ubqln1,6
Arih1,5
Ccdc132,7
Arfgef2,1
Scfd1,7
Sec22b,7
Vps53,7
Fermt2,5
Arfgap2,3
Ube2j1,3
Cab39,5
Atp6v1d,4
Txn2,5
Gbas,5
Usp5,5
Adck3,4
Tbc1d9b,4
Slc3a2,4
Add1,1
Comt,4
Mark2,1
Aspscr1,5
Cdc42ep4,7
Ubxn4,4
Bsg,4
Tnks1bp1,1
Rab3gap2,4
Ppap2b,1
Fkbp15,7
Brsk2,2
Lrba,3
Ncdn,4
2310035C23Rik,3
Hsbp1,3
Atl2,4
Rabgap1,4
Tbc1d10b,2
Tollip,7
Gga3,4
Actn2,1
Tom1l2,5
D230025D16Rik,1
Abcb6,4
Oxr1,7
Sh3gl2,1
Gnao1,3
Stx1a,7
Syt2,7
Dync1i1,1
Syn2,1
Usp14,6
Evl,1
Ndufa9,4
