nWT,nKO,nPresWT,nDivWT,nPresKO,nDivKO,percentTotalDivergence,percentTotalPreservation,k_WT_NS,k_WT_Di,k_WT_Pr,k_WT_NC,k_KO_NS,k_KO_Di,k_KO_Pr,k_KO_NC,k_WT_NS,k_WT_Di,k_WT_Pr,k_WT_NC,k_KO_NS,k_KO_Di,k_KO_Pr,k_KO_NC
95,95,1136,0,1397,0,0,0.434030157642221,91,0,4,1,89,0,8,1,91,0,4,1,89,0,8,1
107,107,990,0,1260,6,0.00102810143934202,0.385538039753256,103,0,4,1,93,1,7,1,103,0,4,1,93,1,7,1
104,104,987,0,1193,0,0,0.373543522960932,99,0,5,1,94,0,8,1,99,0,5,1,94,0,8,1
105,105,913,0,1166,0,0,0.356237148732008,101,0,4,1,100,0,6,1,101,0,4,1,100,0,6,1
110,110,945,0,1134,0,0,0.356237148732008,105,0,5,1,105,0,8,1,105,0,5,1,105,0,8,1
106,106,1107,0,1060,0,0,0.371315969842358,101,0,5,1,100,0,8,1,101,0,5,1,100,0,8,1
117,117,936,0,1031,0,0,0.337045921864291,113,0,4,1,102,0,7,1,113,0,4,1,102,0,7,1
117,117,1138,0,1259,0,0,0.410726525017135,109,0,8,1,105,0,10,1,109,0,8,1,105,0,10,1
118,118,976,0,1297,22,0.00376970527758739,0.389479095270733,114,0,4,1,105,1,10,1,114,0,4,1,105,1,10,1
119,119,1150,0,1249,0,0,0.411069225496916,113,0,6,1,111,0,10,1,113,0,6,1,111,0,10,1
124,124,1105,0,1193,0,0,0.393762851267992,116,0,8,1,110,0,11,1,116,0,8,1,110,0,11,1
124,124,941,0,1284,0,0,0.381254283755997,119,0,5,1,107,0,12,1,119,0,5,1,107,0,12,1
118,118,1256,0,1245,0,0,0.42854694996573,111,0,7,1,118,0,11,1,111,0,7,1,118,0,11,1
121,121,1172,0,1153,0,0,0.398389307745031,114,0,7,1,108,0,10,1,114,0,7,1,108,0,10,1
117,117,973,0,1154,0,0,0.364461960246744,112,0,5,1,117,0,11,1,112,0,5,1,117,0,11,1
125,125,902,0,1015,0,0,0.328478409869774,117,0,8,1,116,0,12,1,117,0,8,1,116,0,12,1
125,125,1116,0,1264,0,0,0.407813570938999,119,0,6,1,119,0,13,1,119,0,6,1,119,0,13,1
120,120,1081,0,1230,0,0,0.395990404386566,114,0,6,1,115,0,14,1,114,0,6,1,115,0,14,1
120,120,993,0,1177,0,0,0.371830020562029,113,0,7,1,118,0,13,1,113,0,7,1,118,0,13,1
125,125,880,0,1029,0,0,0.327107607950651,117,0,8,1,110,0,14,1,117,0,8,1,110,0,14,1
119,119,958,0,1081,0,0,0.349383139136395,111,0,8,1,120,0,13,1,111,0,8,1,120,0,13,1
118,118,1027,0,953,0,0,0.339273474982865,111,0,7,1,116,0,13,1,111,0,7,1,116,0,13,1
125,125,1000,0,1045,0,0,0.350411240575737,117,0,8,1,119,0,13,1,117,0,8,1,119,0,13,1
116,116,1007,0,991,0,0,0.342357779300891,106,0,10,1,121,0,13,1,106,0,10,1,121,0,13,1
118,118,1071,0,896,0,0,0.337045921864291,108,0,10,1,123,0,12,1,108,0,10,1,123,0,12,1
124,124,897,0,1142,0,0,0.349383139136395,114,0,10,1,110,0,18,1,114,0,10,1,110,0,18,1
124,124,857,0,1012,0,0,0.320253598355038,115,0,9,1,130,0,13,1,115,0,9,1,130,0,13,1
123,123,985,0,1030,0,0,0.345270733379027,113,0,10,1,120,0,16,1,113,0,10,1,120,0,16,1
113,113,866,0,1106,0,0,0.337902673063742,102,0,11,1,123,0,19,1,102,0,11,1,123,0,19,1
115,115,864,0,976,0,0,0.315284441398218,105,0,10,1,111,0,16,1,105,0,10,1,111,0,16,1
115,115,855,0,927,0,0,0.305346127484579,103,0,12,1,118,0,16,1,103,0,12,1,118,0,16,1
116,116,906,0,957,0,0,0.319225496915696,106,0,10,1,120,0,15,1,106,0,10,1,120,0,15,1
113,113,935,0,901,0,0,0.314599040438657,101,0,12,1,120,0,18,1,101,0,12,1,120,0,18,1
121,121,849,0,989,0,0,0.314941740918437,109,0,12,1,104,0,20,1,109,0,12,1,104,0,20,1
123,123,910,0,869,0,0,0.304832076764908,111,0,12,1,116,0,16,1,111,0,12,1,116,0,16,1
