x,y
18,0
43,0
8,0
40,39
0,0
8,0
6,0
2,2
7,7
30,0
121,0
10,10
16,0
0,0
0,0
0,0
4,0
140,84
33,0
23,0
0,0
0,0
17,17
4,0
8,0
69,0
0,0
0,0
168,103
24,0
11,0
18,0
11,0
0,0
0,0
7,7
10,10
9,0
46,0
7,7
38,0
113,61
152,93
12,12
23,0
12,12
0,0
69,0
5,5
7,7
5,5
19,19
17,17
57,0
16,0
168,103
8,0
19,19
7,7
5,5
0,0
114,62
0,0
8,0
4,0
45,0
16,0
4,0
0,0
54,0
0,0
12,12
10,10
38,0
147,88
3,3
0,0
10,10
1,1
0,0
9,0
4,0
11,0
66,0
28,0
7,7
0,0
113,61
18,0
3,3
91,0
33,0
174,0
171,0
24,0
25,0
25,0
166,0
0,0
143,0
22,22
61,0
0,0
48,0
1,1
0,0
13,13
10,10
48,0
122,0
8,0
0,0
156,97
36,0
155,0
54,0
13,13
15,15
0,0
74,0
170,0
7,7
21,0
0,0
36,0
6,0
4,0
38,0
0,0
3,3
0,0
123,0
9,0
15,15
1,1
30,0
46,0
118,66
0,0
136,80
25,0
35,34
186,0
5,5
0,0
54,0
0,0
17,17
16,0
15,15
45,0
12,12
0,0
81,0
1,1
4,0
133,77
115,63
113,61
120,68
166,0
5,5
27,0
13,13
0,0
2,2
40,39
28,0
136,80
2,2
29,0
