UniqueID,b1.126,b1.127N,b1.127C,b1.128N,b1.128C,b1.129N,b1.129C,b1.130N,b1.130C,b1.131N,b1.131C,b2.126,b2.127N,b2.127C,b2.128N,b2.128C,b2.129N,b2.129C,b2.130N,b2.130C,b2.131N,b2.131C,b3.126,b3.127N,b3.127C,b3.128N,b3.128C,b3.129N,b3.129C,b3.130N,b3.130C,b3.131N,b3.131C,b4.126,b4.127N,b4.127C,b4.128N,b4.128C,b4.129N,b4.129C,b4.130N,b4.130C,b4.131N,b4.131C
Lxn|P70202,1061487.92,1061448.973,1038010.477,965074.0743,1067113.823,1109539.237,948840.4991,1203552.614,837190.8331,821055.9476,1059725.351,979952.4348,826855.4838,846964.8678,704537.5263,660651.2241,993219.154,646850.0011,722482.9043,742127.0452,764826.5818,923757.8257,1683966.789,1606776.343,1494025.271,1503272.637,1692098.797,1713171.882,1515259.969,1396274.295,1444320.593,1252392.939,1626094.656,2003446.825,1936338.552,2151264.886,2090454.933,2223165.315,1948792.421,1936363.054,1860789.882,1988174.225,2007517.015,1724086.474
Ly6h|Q9WUC3,39719472.61,44130421.97,48457199.25,47068383.68,57662294.58,38123846.41,60615595.46,46219908.5,46715207.01,47644033.52,38451310.07,29667541.03,33264952.65,32347632.24,34520342.99,29306113.88,29166634.27,28593606.44,30126730.82,37638643.77,32311645.27,27778647.69,26982699.97,33678779.54,36228119.63,28263197.63,34308465.56,27655487.23,30903507.44,30432375.79,28841397.36,30507531.21,27954551.86,14657481.23,16623579.97,22951872.8,19452643.79,22350512.13,15206676.51,21830661.41,20961209.13,22436402.84,23536924.78,15352011.4
Lyn|P25911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48971.12786,78005.74754,64011.06043,74034.41689,79632.15307,51603.26676,68121.83263,67256.03767,73497.79927,73674.49594,58756.28982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lynx1|P0DP60,317422.385,655461.3235,593871.0982,556463.7871,815335.8937,346764.1927,813045.7316,604045.8298,734330.5423,620095.8146,348962.3401,910901.2499,1169990.233,1230365.185,1174387.62,1194356.847,990370.9319,1391737.865,1137635.087,1379279.891,1255969.102,817406.6216,780168.9713,1173970.457,1108265.893,584258.1211,916815.5008,1024693.308,1088555.422,1052402.356,1260083.511,1050578.776,1025564.529,451250.0002,488097.0912,638096.7149,598862.4919,578099.3017,338782.4043,569392.5125,559405.9491,611013.8266,602406.1772,551499.1177
Lypd1|Q8BLC3,30329.7351,73499.9637,69614.65597,78789.72738,90962.30429,36636.14515,83421.28983,89127.21454,67737.26408,92932.50347,40102.31914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59169.02662,57490.5629,80024.53204,88655.55827,92749.46194,54005.59029,84462.93462,85764.66207,89780.45338,102592.7002,52342.92059
Lypla1|P97823,1154284.165,1139962.934,1048995.83,1190734.552,1018606.392,1242283.916,1156021.637,1075598.323,1172318.287,1075474.56,1171490.625,49493.02031,46270.14517,41724.36836,47671.43601,45067.73271,45575.22381,50701.93354,45382.90917,39627.51653,38734.68232,43966.87069,1897411.764,1710359.609,1983513.119,1907418.531,1857773.361,2034807.599,1805960.4,1946506.995,1830853.294,2062090.081,2034521.266,742426.0776,894216.7367,769139.0342,790897.2554,761079.7738,892767.9853,845883.0631,884843.8686,834312.8805,764018.2397,809933.8984
Lypla2|Q9WTL7,3384970.075,3052442.377,2962079.917,2992300.934,2201355.104,3329977.666,2348745.451,2808934.469,2753385.535,2433003.819,3272541.068,2478567.722,2414498.49,2282316.522,2024419.615,1998477.413,2552876.235,2189052.763,2137242.566,1675181.585,2280647.546,2444118.702,2490436.553,2225524.975,2089676.338,2369789.587,2329487.731,2504752.374,2313304.912,2551496.421,2545493.561,2615660.229,2577033.242,1066327.58,684845.5892,944826.0652,772217.4312,611089.5229,1062507.789,796259.2571,894632.7156,776306.9229,645953.151,1047486.827
Lyrm4|Q8K215,1271131.711,625923.6079,695942.5825,666176.7258,760112.7422,1418650.64,738769.7028,507404.0299,565626.276,591883.1817,1365458.129,1615928.254,1156252.732,1186072.383,1036379.885,988475.9547,1691357.591,966796.2578,1180926.618,1168280.835,1247167.526,1540039.915,1313019.62,1027923.402,963913.9555,1365951.023,1214987.341,1325001.176,1091061.34,1206197.426,1037289.887,884140.6662,1345840.222,1187786.524,1230114.665,1151134.401,1001976.742,1446935.441,1268730.61,1078873.694,894147.5874,973405.7401,833143.4503,1180525.921
Lyrm7|Q9DA03,81172.05613,53429.91481,47022.11402,70976.66811,84752.69848,93863.55163,62563.97582,52930.48388,71969.89281,68810.52591,85498.26878,226610.8949,331271.0525,321828.4604,353881.0976,339957.3081,219242.5603,369818.8203,372429.7405,283934.3513,317712.8888,233098.165,294046.0743,269671.165,197970.5628,202449.344,186684.7889,305875.5681,253610.5379,248475.8912,172766.0686,322848.166,314478.1029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lysmd1|Q9D0E3,416855.2345,573024.5881,430556.9254,492794.8642,601298.5309,461181.2671,490460.9706,470650.5288,412018.2757,386364.6292,457007.6996,202720.1621,261640.2759,229770.5363,281763.4011,240731.0356,212674.0482,268257.8378,209561.2619,186827.9762,235797.1886,228220.6087,428101.2358,417012.2899,455041.9785,446111.6787,390703.1788,424796.7716,424389.3392,435030.6936,417992.1631,558079.5572,414505.4272,141964.6319,158731.0814,118023.7689,151382.9643,161461.2438,124687.7355,137578.554,123144.4019,141040.036,136968.1024,132417.8
Lysmd2|Q9D7V2,39629.7944,57436.64465,44835.13215,51331.02461,60038.37504,39165.59888,53649.45171,40817.02199,50336.5882,49652.35118,40578.48015,113103.0794,138075.901,119617.4452,165281.8415,130454.5683,111880.2163,135214.282,127184.3661,110901.9319,121362.3311,126981.206,27801.83304,27172.76864,37677.36196,35628.38619,29702.43545,35665.59944,32381.69976,28687.80599,32443.26436,39225.48717,29855.03301,211202.2753,220280.1946,228334.9701,182340.8963,250638.9707,204378.4435,193155.9517,206684.9224,218448.3496,214788.4045,199888.5727
Lyst|P97412,36690.20421,37887.55638,34224.73534,32421.94577,32198.70488,31756.99891,37487.43349,37704.92301,32239.26954,43600.17495,30455.32659,71651.72113,118147.9262,97377.22251,117139.0172,100604.2896,73062.34636,111816.9188,103139.1112,99867.246,101800.801,74232.03533,28177.29599,35019.10333,32119.37147,33863.40901,37841.07216,30441.95721,26500.7452,38641.21563,31461.89817,41933.03497,34612.7681,146850.5208,175709.9246,175561.7372,156758.6682,188822.667,147183.5218,157474.0003,179182.915,168528.7776,189588.5294,140243.7607
Lztfl1|Q9JHQ5,388396.1028,522947.8689,473334.9408,517041.3671,624756.224,476629.6694,556459.424,522603.936,506895.3798,520375.1305,469351.5125,36800.06934,75850.24055,72398.20933,98684.06694,74493.25146,41852.4162,90219.80162,69953.98449,71704.82291,77776.57334,45978.66928,320015.0028,367838.9575,381228.0567,385774.1696,371033.1718,420541.7001,414243.1458,397116.919,411999.9782,406020.9998,411054.4548,15288.55829,20698.68534,22533.61669,21366.47777,43248.6021,16343.46762,23476.78376,23017.86244,24627.85734,29808.52606,15396.29133
Lzts1|P60853,503325.1739,742964.8248,657700.898,655015.6027,748301.737,534724.4991,742710.7069,704739.3116,936803.7473,969535.6892,550098.2914,291433.8508,373767.5325,325567.3605,319323.4153,429922.1064,297513.5683,413356.9974,459661.164,467184.2636,393180.4417,309202.33,1249810.69,1662532.154,1587373.771,1337220.364,1652955.751,1289569.482,1491442.629,1723877.87,1703266.186,1940688.301,1212512.722,372180.17,408996.8054,270162.3568,503960.5977,453783.5213,373785.1743,421364.4082,452023.1242,541558.9136,513812.5102,361066.6097
Lzts3|A2AHG0,335269.1413,527773.1767,492807.2891,542584.5482,754730.9517,327076.5928,648037.4038,579500.9327,673133.5812,714963.616,349629.5768,213681.0593,297595.3713,261749.9369,297762.8753,295903.6139,216153.7927,288726.4377,281278.784,406879.5269,278032.7073,226824.947,409420.1857,550755.7285,483496.9587,416280.711,518078.2714,371274.6168,486027.7572,522839.5539,566378.619,599371.3277,394266.4902,203938.9935,306491.4645,181985.9117,287540.0167,325254.3663,206586.7425,238147.0045,288737.3284,352183.9431,394632.4522,185595.642
