UniqueID,b1.126,b1.127N,b1.127C,b1.128N,b1.128C,b1.129N,b1.129C,b1.130N,b1.130C,b1.131N,b1.131C,b2.126,b2.127N,b2.127C,b2.128N,b2.128C,b2.129N,b2.129C,b2.130N,b2.130C,b2.131N,b2.131C,b3.126,b3.127N,b3.127C,b3.128N,b3.128C,b3.129N,b3.129C,b3.130N,b3.130C,b3.131N,b3.131C,b4.126,b4.127N,b4.127C,b4.128N,b4.128C,b4.129N,b4.129C,b4.130N,b4.130C,b4.131N,b4.131C
Gcat|O88986,80043.40531,110601.313,93881.55139,86650.05895,75050.21421,81673.39425,78316.73495,93708.66279,68234.66389,91974.45209,90894.91527,96053.89144,62536.76003,53374.61689,64673.92743,65182.45697,123392.6593,64376.63618,56476.98831,65248.28875,64595.34879,88211.52211,28228.156,20974.92035,14545.85764,22790.69678,17917.99977,20035.57498,14293.851,17821.25807,17146.67645,14118.24357,28204.97917,16269.54176,15707.98763,13955.49605,17180.28615,12969.00598,17804.76221,16199.2954,14828.6264,17465.11084,9300.266173,16203.97895
Fuk|Q7TMC8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39451.62735,46144.32979,35023.24526,38444.08389,40292.02288,43454.35289,44919.01399,45292.01677,45839.7437,38844.14949,39176.85822,51496.90098,47748.25976,53381.38177,46090.63884,49178.39608,53535.16556,51504.7607,50746.68016,49285.1952,55073.72467,50777.03442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Itsn2|Q9Z0R6,70838.29657,72764.02894,73694.093,66467.73954,77506.89769,66825.84018,78610.798,67413.06199,65399.40506,71521.07469,69012.2302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229603.5772,253621.042,325587.772,325445.7001,319052.0003,224648.4819,255391.2332,269195.1182,236161.7097,262504.312,207785.7768
Tubb2a|Q7TMM9,43621061.12,45270603.94,43490556.45,44770168.74,46946988.13,44653034.02,34444734.21,39783919.92,49093889.66,52033977.86,49347531.92,46927193.03,56790861.87,46547376.26,54170946.92,44852819.07,35834664.57,47816361.06,50597414.63,54385504.17,51894393.38,46926432.19,46108679.07,44733588.15,48738112.52,53313668.1,46527956.34,44021523.19,51904125.8,45800944.67,51576841.84,46480490.52,45868646.46,49323810.25,60232520.01,79697210.27,69285376.68,62528131.28,46719516.76,60893665.12,61156391.11,47842483.84,57809337.47,50427084.83
Sv2c|Q69ZS6,693478.9347,565195.0892,669631.9931,539749.3915,647563.9085,627078.2618,433988.1982,639817.6131,821474.8469,546746.3104,745219.9241,769370.1449,1156264.772,948185.5201,1039244.131,985730.6337,629112.0229,1074194.428,1000089.603,1147953.757,999719.81,741396.8974,460809.6821,670263.6763,616504.5269,625057.7598,808728.9586,515696.1069,637849.4987,708160.9916,628464.2966,814358.2052,510699.1497,470173.9785,379849.6288,372915.0406,412138.9622,540771.1312,503243.2781,436865.7114,547601.3778,540056.972,373023.6396,503510.4817
Nutf2|P61971,1878027.546,1569637.139,1606420.169,1658627.295,1844419.52,2642245.564,1720826.185,1950900.658,1716637.026,1658057.886,1904610.885,227160.8262,252594.5918,200402.0261,224467.3133,205949.5079,197324.0655,202051.0755,190919.6498,237643.8409,219653.4473,234928.6091,413673.5153,472701.7648,339644.5862,410042.9793,360483.382,415221.9379,452017.9556,352670.8978,417633.559,421877.6014,438141.3653,26429.78198,29408.27727,23178.30461,24480.10366,30328.18916,29494.14951,26173.23689,26745.43852,25379.53822,26679.8023,22825.64037
Maip1|Q8BHE8,1234262.694,1288785.466,1161525.899,1114501.933,1049170.449,1218483.757,1101964.613,1116842.213,870611.1452,945109.5077,1154720.278,949100.9346,735427.9594,713256.7499,681758.995,754235.2297,1241343.399,796875.2395,707135.1481,757559.9085,832516.1531,1026184.735,718420.8837,572893.0278,578671.179,606342.8112,653462.4974,719230.6894,562050.1584,657901.2799,593934.9181,663527.5391,776705.1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jph4|Q80WT0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60476.65263,59047.32156,69934.16826,61806.12569,82695.79474,51892.01286,62724.80547,75718.63438,72850.81346,77321.58145,71067.05253,127685.7508,131980.5753,147196.2314,124189.8593,135979.4675,131552.0305,129322.3546,131662.1993,134315.3174,147063.4803,130754.4757,29855.54746,19217.60577,13513.8041,13444.03835,13679.28708,28188.45634,23120.08086,27573.38929,26469.54163,26100.34977,29618.09874
Kpna3|O35344,1260789.332,1088816.245,1086298.427,1202915.687,1145947.93,1288374.871,1041489.223,1278634.176,1237390.122,1152452.204,1178270.789,773034.5088,903902.1901,728871.2737,881907.3365,836212.325,583581.2672,766062.6923,803071.4697,845472.6769,864283.4567,805427.5032,1471950.946,1465153.765,1427180.375,1568885.691,1495272.893,1514419.684,1446563.972,1467752.873,1493871.554,1460587.417,1534129.869,78656.70624,73855.97625,119828.4866,104364.245,101481.3901,73929.3824,64813.761,57888.15044,80629.39277,58333.0881,72581.64389
Ndufb1|P0DN34,2077361.004,1408361.695,1809739.434,1833409.068,1752170.748,2116381.733,1302533.933,1509752.645,1166730.471,1282126.857,2218274.26,2175807.216,1385732.673,1618067.462,1264274.752,1740811.025,4324847.583,1728256.288,921155.4811,1499433.554,1320456.909,2266481.977,5249407.721,2855077.197,3313320.35,3477950.355,3567871.105,4595463.896,3438126.251,3243700.377,3886791.945,3441465.697,5006776.779,7787443.66,4265725.551,1229576.308,2404978.98,3200583.87,6624400.898,4105167.808,4355009.558,6205592.636,3549421.25,7210627.892
