Module,KW.statistic,KW.parameter,KW.pval,KW.padj,DT.Contrast,DT.diff,DT.lwr.ci,DT.upr.ci,DT.pval,Sig,PVE
M29,12.3352272727273,4,0.0150249840019924,1,KO.Shank3.Cortex-WT.Cortex,-0.0580012302153825,-0.275207583344355,0.15920512291359,0.9184567879319,FALSE,0.481350961707417
M29,12.3352272727273,4,0.0150249840019924,1,HET.Syngap1.Cortex-WT.Cortex,0.12857193037847,-0.0886344227505023,0.345778283507442,0.399087424027763,FALSE,0.481350961707417
M29,12.3352272727273,4,0.0150249840019924,1,KO.Ube3a.Cortex-WT.Cortex,0.30507019823397,0.0878638451049983,0.522276551362943,0.00353159615096943,FALSE,0.481350961707417
M30,12.5397727272727,4,0.0137578500771894,0.976807355480444,KO.Shank2.Cortex-WT.Cortex,0.105372037649376,-0.115621085044889,0.32636516034364,0.596790424956272,FALSE,0.573822400825234
M30,12.5397727272727,4,0.0137578500771894,0.976807355480444,KO.Shank3.Cortex-WT.Cortex,-0.216070669658301,-0.437063792352565,0.00492245303596311,0.0568273046420733,FALSE,0.573822400825234
M30,12.5397727272727,4,0.0137578500771894,0.976807355480444,HET.Syngap1.Cortex-WT.Cortex,0.199046163513569,-0.0219469591806956,0.420039286207833,0.088641509909613,FALSE,0.573822400825234
M30,12.5397727272727,4,0.0137578500771894,0.976807355480444,KO.Ube3a.Cortex-WT.Cortex,0.0776586438941233,-0.143334478800141,0.298651766588388,0.811553810203683,FALSE,0.573822400825234
M31,16.3465909090909,4,0.00258766628069403,0.183724305929276,KO.Shank2.Cortex-WT.Cortex,0.126799168217665,-0.0737401722053273,0.327338508640657,0.338379439581093,FALSE,0.778648141920359
M31,16.3465909090909,4,0.00258766628069403,0.183724305929276,KO.Shank3.Cortex-WT.Cortex,-0.262667309993073,-0.463206650416065,-0.062127969570081,0.0069119207559778,FALSE,0.778648141920359
M31,16.3465909090909,4,0.00258766628069403,0.183724305929276,HET.Syngap1.Cortex-WT.Cortex,0.0626363717165503,-0.137902968706442,0.263175712139542,0.866475565488359,FALSE,0.778648141920359
